[2020-07-07 10:15:42.976991] Generating Gabor Filters...
[2020-07-07 10:15:42.986380] Generating Gabor Filters Done!
[2020-07-07 10:15:42.986408] Loading MNIST Data...
[2020-07-07 10:15:44.238532] Loading MNIST Data Done!
[2020-07-07 10:15:44.467573] Convoluting Images...
[2020-07-07 10:16:10.134552] Convoluting Images Done!
[2020-07-07 10:16:10.135134] Image Blocks and Gabor Images Capturing...
[2020-07-07 10:20:16.159930] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 10:37:12.451334] Epoch : 0241 loss = 0.118669912
[2020-07-07 10:37:16.670425] Epoch : 0242 loss = 0.100805604
[2020-07-07 10:37:20.859130] Epoch : 0243 loss = 0.090621236
[2020-07-07 10:37:25.085685] Epoch : 0244 loss = 0.083971491
[2020-07-07 10:37:29.225313] Epoch : 0245 loss = 0.078340597
[2020-07-07 10:37:33.388342] Epoch : 0246 loss = 0.073773079
[2020-07-07 10:37:37.523444] Epoch : 0247 loss = 0.070321165
[2020-07-07 10:37:41.649381] Epoch : 0248 loss = 0.069043821
[2020-07-07 10:37:45.780855] Epoch : 0249 loss = 0.072744277
[2020-07-07 10:37:49.869618] Epoch : 0250 loss = 0.088784832
[2020-07-07 10:37:54.005481] Epoch : 0251 loss = 40.566810725
[2020-07-07 10:37:58.095506] Epoch : 0252 loss = 0.123713906
[2020-07-07 10:38:02.284905] Epoch : 0253 loss = 0.123123007
[2020-07-07 10:38:06.503216] Epoch : 0254 loss = 0.131711862
[2020-07-07 10:38:10.713030] Epoch : 0255 loss = 0.222693343
[2020-07-07 10:38:14.876527] Epoch : 0256 loss = 0.311566573
[2020-07-07 10:38:19.076394] Epoch : 0257 loss = 0.264930423
[2020-07-07 10:38:23.247211] Epoch : 0258 loss = 0.199839242
[2020-07-07 10:38:27.363067] Epoch : 0259 loss = 0.144767183
[2020-07-07 10:38:31.491838] Epoch : 0260 loss = 0.115582677
[2020-07-07 10:38:35.670581] Epoch : 0261 loss = 0.099368287
[2020-07-07 10:38:39.867135] Epoch : 0262 loss = 0.093818791
[2020-07-07 10:38:44.017406] Epoch : 0263 loss = 0.086867263
[2020-07-07 10:38:48.126578] Epoch : 0264 loss = 0.078474425
[2020-07-07 10:38:52.264099] Epoch : 0265 loss = 0.072091670
[2020-07-07 10:38:56.378891] Epoch : 0266 loss = 0.068050177
[2020-07-07 10:39:00.510559] Epoch : 0267 loss = 0.067147946
[2020-07-07 10:39:04.618674] Epoch : 0268 loss = 0.071738678
[2020-07-07 10:39:08.808215] Epoch : 0269 loss = 0.083918287
[2020-07-07 10:39:12.988827] Epoch : 0270 loss = 0.093712720
[2020-07-07 10:39:17.143050] Epoch : 0271 loss = 0.089598281
[2020-07-07 10:39:21.308020] Epoch : 0272 loss = 0.087024613
[2020-07-07 10:39:25.449195] Epoch : 0273 loss = 15.046743785
[2020-07-07 10:39:29.590187] Epoch : 0274 loss = 0.107776625
[2020-07-07 10:39:33.796258] Epoch : 0275 loss = 0.107009902
[2020-07-07 10:39:38.025076] Epoch : 0276 loss = 0.111641338
[2020-07-07 10:39:42.251414] Epoch : 0277 loss = 0.155011129
[2020-07-07 10:39:46.385470] Epoch : 0278 loss = 0.176736858
[2020-07-07 10:39:50.565789] Epoch : 0279 loss = 0.142396627
[2020-07-07 10:39:54.716628] Epoch : 0280 loss = 0.114403650
[2020-07-07 10:39:58.915446] Epoch : 0281 loss = 0.099145781
